fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;4.01;0.56;12.22;5
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.7;0.68;12.740000000000002;5
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.76;0.65;12.740000000000002;5
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.66;0.58;12.740000000000002;6
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;4.01;0.56;12.22;5
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;4.01;0.56;12.22;5
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.8;0.46;12.22;5
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.89;0.47;13.0;7
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.86;0.57;12.35;7
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.85;0.8;13.65;5
6.7;0.58;0.08;1.8;0.097;15.0;65.0;0.9959;3.78;0.54;11.959999999999999;5
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.85;0.8;13.65;5
5.6;0.615;0.0;1.6;0.089;16.0;59.0;0.9943;4.08;0.52;12.870000000000001;5
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.76;1.56;11.83;5
8.9;0.62;0.18;3.8;0.176;52.0;145.0;0.9986;3.66;0.88;11.959999999999999;5
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.67;0.93;11.959999999999999;5
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.8;0.75;13.65;7
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.61;1.28;12.090000000000002;5
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.88;0.5;11.700000000000001;4
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.54;1.08;11.959999999999999;6
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.89;0.53;12.22;6
7.6;0.39;0.31;2.3;0.082;23.0;71.0;0.9982;4.02;0.65;12.61;5
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.67;0.91;12.35;5
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.67;0.53;12.22;5
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.93;0.63;12.61;6
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.84;0.56;12.090000000000002;5
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.78;0.59;12.35;5
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.67;0.91;12.35;5
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.97;0.55;12.22;5
7.8;0.645;0.0;2.0;0.082;8.0;16.0;0.9964;3.88;0.59;12.740000000000002;6
6.7;0.675;0.07;2.4;0.089;17.0;82.0;0.9958;3.85;0.54;13.13;5
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.96;0.57;13.78;6
8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.67;0.66;12.740000000000002;5
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.95;0.52;12.22;6
5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9957;3.88;0.55;11.959999999999999;5
7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.9986;3.9;0.55;12.48;6
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.92;0.6;14.040000000000001;6
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.73;0.73;12.61;7
5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.994;4.0;0.48;12.740000000000002;4
7.3;0.45;0.36;5.9;0.074;12.0;87.0;0.9978;3.83;0.83;13.65;5
7.3;0.45;0.36;5.9;0.074;12.0;87.0;0.9978;3.83;0.83;13.65;5
8.8;0.61;0.3;2.8;0.088;17.0;46.0;0.9976;3.76;0.51;12.090000000000002;4
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.71;0.9;13.65;6
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.8;1.2;13.39;5
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.98;0.52;12.35;5
4.6;0.52;0.15;2.1;0.054;8.0;65.0;0.9934;4.4;0.56;17.03;4
7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.75;0.73;11.959999999999999;5
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.75;0.58;12.35;5
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.84;0.56;11.959999999999999;5
5.6;0.31;0.37;1.4;0.074;12.0;96.0;0.9954;3.82;0.58;11.959999999999999;5
8.8;0.66;0.26;1.7;0.074;4.0;23.0;0.9971;3.65;0.74;11.959999999999999;5
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.9;0.63;12.22;6
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.89;0.64;12.22;6
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.7;0.56;12.22;5
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.67;0.63;13.26;6
7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9978;3.84;0.53;12.35;5
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.54;0.63;12.48;5
7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9983;3.76;0.77;12.22;5
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.93;0.59;13.0;5
7.3;0.39;0.31;2.4;0.074;9.0;46.0;0.9962;3.91;0.54;12.22;6
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.94;0.64;11.959999999999999;5
7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.71;0.71;12.090000000000002;5
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.88;0.62;12.35;7
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.89;0.57;12.740000000000002;5
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.91;0.39;14.170000000000002;5
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.91;0.39;14.170000000000002;5
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.92;0.58;12.48;5
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.94;0.58;13.91;5
9.3;0.32;0.57;2.0;0.074;27.0;65.0;0.9969;3.78;0.79;13.91;5
8.0;0.705;0.05;1.9;0.074;8.0;19.0;0.9962;3.84;0.95;13.65;6
7.7;0.63;0.08;1.9;0.076;15.0;27.0;0.9967;3.82;0.54;12.35;6
7.7;0.67;0.23;2.1;0.088;17.0;96.0;0.9962;3.82;0.48;12.35;5
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.81;0.48;12.35;5
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.81;0.53;11.959999999999999;4
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.78;0.82;12.48;5
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;4.04;0.66;13.65;5
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;4.04;0.66;13.65;5
6.8;0.785;0.0;2.4;0.104;14.0;30.0;0.9966;4.02;0.55;13.91;6
6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.88;0.52;13.13;5
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.66;1.12;11.83;4
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.91;0.56;11.959999999999999;5
7.8;0.43;0.7;1.9;0.464;22.0;67.0;0.9974;3.63;1.28;12.22;5
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.86;0.57;11.83;5
7.3;0.67;0.26;1.8;0.401;16.0;51.0;0.9969;3.66;1.14;12.22;5
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.94;0.78;13.39;6
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.91;0.59;13.13;5
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;3.43;1.95;12.870000000000001;6
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.89;0.64;12.48;5
9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9978;3.64;1.22;12.35;5
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.98;0.53;11.700000000000001;5
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.73;0.54;12.35;5
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;3.43;1.95;12.870000000000001;6
8.6;0.49;0.29;2.0;0.11;19.0;133.0;0.9972;3.43;1.98;12.740000000000002;5
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.89;0.64;12.48;5
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;4.25;0.48;13.65;4
4.7;0.6;0.17;2.3;0.058;17.0;106.0;0.9932;4.35;0.6;16.77;6
6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.95;0.56;13.91;5
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.75;0.63;11.959999999999999;5
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.89;0.56;12.740000000000002;5
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.8;0.59;11.700000000000001;6
8.3;0.61;0.3;2.1;0.084;11.0;50.0;0.9972;3.9;0.61;13.26;6
7.8;0.5;0.3;1.9;0.075;8.0;22.0;0.9959;3.81;0.56;13.520000000000001;6
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.8;0.59;11.700000000000001;6
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.79;0.51;11.959999999999999;5
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.83;0.48;12.22;5
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.79;0.51;11.959999999999999;5
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9973;3.58;1.31;12.090000000000002;5
6.2;0.63;0.31;1.7;0.088;15.0;64.0;0.9969;3.96;0.79;12.090000000000002;5
8.0;0.33;0.53;2.5;0.091;18.0;80.0;0.9976;3.87;0.8;12.48;6
8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9969;3.71;0.69;12.090000000000002;5
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.69;0.93;12.35;5
8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9964;3.65;0.66;12.740000000000002;5
8.4;0.6;0.1;2.2;0.085;14.0;111.0;0.9964;3.65;0.66;12.740000000000002;5
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9988;3.82;0.67;12.61;6
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9964;3.69;0.93;12.35;5
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9966;3.57;0.63;13.65;6
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9978;3.89;0.61;13.0;6
7.8;0.56;0.12;2.0;0.082;7.0;28.0;0.997;3.87;0.5;12.22;6
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9962;3.71;0.6;14.170000000000002;6
7.0;0.69;0.08;1.8;0.097;22.0;89.0;0.9959;3.84;0.54;11.959999999999999;6
7.3;1.07;0.09;1.7;0.178;10.0;89.0;0.9962;3.8;0.57;11.700000000000001;5
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9962;3.71;0.6;14.170000000000002;6
7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.998;3.99;0.52;11.959999999999999;5
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.94;0.53;12.35;5
7.8;0.5;0.17;1.6;0.082;21.0;102.0;0.996;3.89;0.48;12.35;5
9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9984;3.66;0.7;12.22;5
8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9964;4.029999999999999;0.49;14.170000000000002;5
8.1;1.33;0.0;1.8;0.082;3.0;12.0;0.9964;4.04;0.48;14.170000000000002;5
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.92;0.92;13.65;7
6.1;0.38;0.15;1.8;0.072;6.0;19.0;0.9955;3.92;0.57;12.22;5
8.0;0.745;0.56;2.0;0.118;30.0;134.0;0.9968;3.74;0.66;12.22;5
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;4.13;0.63;16.900000000000002;5
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;4.13;0.63;16.900000000000002;5
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.9;0.58;12.740000000000002;6
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.9959;3.72;0.55;12.870000000000001;6
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.69;0.82;12.48;5
8.3;0.715;0.15;1.8;0.089;10.0;52.0;0.9968;3.73;0.77;12.35;5
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.98;0.64;11.959999999999999;5
7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9962;3.83;0.54;12.35;5
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.82;0.54;12.35;5
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.69;0.82;12.48;5
8.3;0.715;0.15;1.8;0.089;10.0;52.0;0.9968;3.73;0.77;12.35;5
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;4.18;0.79;18.2;6
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.84;0.58;12.22;5
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;4.18;0.79;18.2;6
8.1;0.67;0.55;1.8;0.117;32.0;141.0;0.9968;3.67;0.62;12.22;5
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;4.04;0.52;13.0;5
7.6;0.49;0.26;1.6;0.236;10.0;88.0;0.9968;3.61;0.8;12.090000000000002;5
6.9;0.49;0.1;2.3;0.074;12.0;30.0;0.9959;3.92;0.58;13.26;6
8.2;0.4;0.44;2.8;0.089;11.0;43.0;0.9975;4.029999999999999;0.61;13.65;6
7.3;0.33;0.47;2.1;0.077;5.0;11.0;0.9958;3.83;0.53;13.39;6
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;3.24;2.0;12.22;4
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.85;0.54;13.13;5
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.85;0.54;13.13;5
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.92;0.72;13.65;5
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.92;0.71;13.65;5
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.92;0.72;13.65;5
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.92;0.71;13.65;5
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.98;0.5;12.090000000000002;5
6.8;0.6;0.18;1.9;0.079;18.0;86.0;0.9968;4.09;0.57;12.090000000000002;6
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.7;0.56;12.48;5
7.6;0.68;0.02;1.3;0.072;9.0;20.0;0.9965;3.67;1.08;11.959999999999999;4
7.8;0.53;0.04;1.7;0.076;17.0;31.0;0.9964;3.83;0.56;13.0;6
7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9982;3.87;0.49;12.22;5
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.87;0.49;12.22;5
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.69;0.62;12.35;5
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.84;0.52;13.26;5
7.3;0.55;0.03;1.6;0.072;17.0;42.0;0.9956;3.87;0.48;11.700000000000001;4
6.8;0.63;0.07;2.1;0.089;11.0;44.0;0.9953;3.97;0.55;13.520000000000001;6
7.5;0.705;0.24;1.8;0.36;15.0;63.0;0.9964;3.5;1.59;12.35;5
7.9;0.885;0.03;1.8;0.058;4.0;8.0;0.9972;3.86;0.33;11.83;4
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.79;0.61;11.959999999999999;6
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.79;0.61;11.959999999999999;6
7.4;0.62;0.05;1.9;0.068;24.0;42.0;0.9961;3.92;0.57;14.950000000000001;6
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.83;0.47;12.35;5
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.85;0.78;12.35;5
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.83;0.47;12.35;5
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9972;4.08;0.61;13.65;6
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.98;0.56;12.48;5
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.69;0.59;12.35;5
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.69;0.59;12.35;5
8.9;0.61;0.49;2.0;0.27;23.0;110.0;0.9972;3.62;1.02;12.090000000000002;5
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.94;0.52;12.090000000000002;5
6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9971;4.04;0.58;12.090000000000002;5
6.7;0.62;0.21;1.9;0.079;8.0;62.0;0.997;4.02;0.58;12.090000000000002;6
